अलिफ	अलिफ़
द्विज़ख़	दोज़ख़
मौज़िवा	मौज़ू
मज्कोर	मज़्कूर
ज्यादा	ज़्यादा
ख़िदरी	ख़ुदरी
कमजोर त्रिन	कमज़ोरतरीन
उन के लिये	उनके लिए
पैगम्बर	पैग़म्बर
लिये	लिए
हुक्म	ह़ुक्म
इताअत	इताअ़त
हबीब	ह़बीब
माफी	माफ़ी
शिफ़ाअत	शिफ़ाअ़त
मारिफ	मारिफ़
तुरात	ताैरात
हलाल	ह़लाल
हराम	ह़राम
हलाल	ह़लाल
गालिब	ग़ालिब
फरमाए	फ़रमाए
मुकाबला	मुक़ाबला
सख्त	सख़्त
रहम	रह़म
खातिर	ख़ातिर
खताएं	ख़ताऐं
हदीस	ह़दीस
यकीनन	यक़ीनन
करीज़ह	क़रीज़ह
जरिए	ज़रिए
गुफ्तगू	गुफ़्तगू
फोरन	फ़ोरन
गुजरती	गुज़रती
पैगाम	पैगा़म
हो गा	होगा
उन की	उनकी
उस की	उसकी
बे हद	बेहद
बना कर	बनाकर
लाएं गे	लाएंगे
लाए गे	लाएंगे
करें गे	करेंगे
करे गे	करेंगे
करो गे	करोगे
दें गे	देंगे
हुज़ूर	ह़ुज़ूर
मोहम्मद	मोह़म्मद
अ़ल्लाह	अल्लाह
हुज़ूर	ह़ुज़ूर
मुहम्मद	मोह़म्मद
मशक्कतें	मशक़्क़तें
मशक्कत	मशक़्क़त
मुश्ताक	मुश्ताक़
दराज	दराज़
हाकिम	ह़ाकिम
फ़ूत	फ़ाैत
ख्वाब	ख़्वाब
हुज़ूर नबी	ह़ुज़ूर नबिय्ये
फलाह	फ़लाह़
महाजरीन	मुह़ाजिरीन
मुहब्बत	मोह़ब्बत
हासिल	ह़ासिल
सहाबा	सह़ाबा
अज़ीम	अ़ज़ीम
दाखिल	दाख़िल
खुद	ख़ुद
गुस्ताख	गुस्ताख़
इजाजत	इजाज़त
निकले गे	निकलेंगे
तरह	तरह़
खारजी	ख़ारजी
रहें गे	रहेंगे
मुस्तफ़ी	मुस्तफ़ा
मुश्रिक	मुशरिक
मक्तूल	मक़्तूल
अकबआ	अक़बा
वाकया	वाक़या
हुज़ूरनबी	हुज़ूर नबिय्ये
सुलह	सुलह़
हदीब्य	ह़ोदैबिया
मजाकिरात	मुज़ाकिरात
नबी अकरम	नबिय्ये अकरम
तसफ़ीय	तसफ़िया
हाजिर	ह़ाज़िर
फैसला	फै़सला
फैसले	फै़सले
फैसलों	फै़सलों
बराय	बराए
कत्ल	क़त्ल
ख्याल	ख़्याल
सदीक	सिद्दीक़
जाएँ गे	जाएँगे
जबरील	जिबरील
फर्क	फर्क़
हाफिज़	ह़ाफिज़
मनकरीन	मुनकेिरीने
सुबह	सुबह़
बला शुबह	बिला शुबह
कायम	क़ायम
अलफत	उलफ़त
या रसूल उल्लाह	या रसूलुल्लाह
तशरीफ	तशरीफ़
हबान	हिब्बान
कहें गे	कहेंगे
खुशी	ख़ुशी
खुशियों	ख़ुशियों
खुशियां	ख़ुशियां
महबूब	मह़बूब
खुश	ख़ुश
नजदीक	नज़दीक
ज़ेदबन	ज़ैद बिन
फरमाते	फ़रमाते
हसन	ह़सन
राशिदालख़ैरी	राशिदुल ख़ैरी
सजाद	सज्जाद
हजारों	हज़ारों
माला माल	माला-माल
बे शुमार	बेशुमार
बे मिसाल	बेमिसाल
जुबान	ज़ुबान
